status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,age_group,amount_group
بدون حساب جاری,10,وام های موجود پرداخت شده,خودرو (نو),1309,A65,۱-۴ سال,4,مرد مجرد,A103,4,A122,27,A143,A152,1,کارگر ساده,1,A191,A201,0,35-26,2000-1000
بیشتر از ۲۰۰ مارک,15,وضعیت بحرانی/سایر,خودرو (کارکرده),2360,A63,۱-۴ سال,2,مرد مجرد,A101,2,A123,36,A143,A152,1,کارگر ماهر,1,A192,A201,1,45-36,5000-2000
۰-۲۰۰ مارک,15,همه پرداخت شده,خودرو (نو),6850,A62,بیکار,1,مرد مجرد,A101,2,A122,34,A143,A152,1,مدیر/خویش فرما,2,A192,A201,0,35-26,10000-5000
بدون حساب جاری,24,وام های موجود پرداخت شده,رادیو/تلویزیون,1413,A61,۱-۴ سال,4,مرد متاهل/بیوه,A101,2,A122,28,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,2000-1000
بدون حساب جاری,39,وام های موجود پرداخت شده,خودرو (کارکرده),8588,A62,بیشتر از ۷ سال,4,مرد مجرد,A101,2,A123,45,A143,A152,1,مدیر/خویش فرما,1,A192,A201,1,45-36,10000-5000
کمتر از ۰ مارک,12,وام های موجود پرداخت شده,خودرو (نو),759,A61,۴-۷ سال,4,مرد مجرد,A101,2,A121,26,A143,A152,1,کارگر ماهر,1,A191,A201,0,35-26,کمتر از 1000
بدون حساب جاری,36,وام های موجود پرداخت شده,خودرو (کارکرده),4686,A61,۱-۴ سال,2,مرد مجرد,A101,2,A124,32,A143,A153,1,مدیر/خویش فرما,1,A192,A201,1,35-26,5000-2000
بیشتر از ۲۰۰ مارک,15,وام های موجود پرداخت شده,کسب و کار,2687,A61,۴-۷ سال,2,مرد مجرد,A101,4,A122,26,A143,A151,1,کارگر ماهر,1,A192,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,12,تاخیر پرداخت شده,رادیو/تلویزیون,585,A61,۱-۴ سال,4,مرد متاهل/بیوه,A102,4,A121,20,A143,A151,2,کارگر ماهر,1,A191,A201,1,25-18,کمتر از 1000
بدون حساب جاری,24,وام های موجود پرداخت شده,خودرو (نو),2255,A65,کمتر از ۱ سال,4,مرد مجرد,A101,1,A122,54,A143,A152,1,کارگر ماهر,1,A191,A201,1,55-46,5000-2000
کمتر از ۰ مارک,6,وضعیت بحرانی/سایر,خودرو (نو),609,A61,۴-۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,3,A122,37,A143,A152,2,کارگر ماهر,1,A191,A202,1,45-36,کمتر از 1000
کمتر از ۰ مارک,6,وضعیت بحرانی/سایر,خودرو (نو),1361,A61,کمتر از ۱ سال,2,مرد مجرد,A101,4,A121,40,A143,A152,1,کارگر ساده,2,A191,A202,1,45-36,2000-1000
بدون حساب جاری,36,وضعیت بحرانی/سایر,لوازم خانگی,7127,A61,کمتر از ۱ سال,2,زن مطلقه/جدا شده/متاهل,A101,4,A122,23,A143,A151,2,کارگر ماهر,1,A192,A201,0,25-18,10000-5000
کمتر از ۰ مارک,6,وام های موجود پرداخت شده,خودرو (نو),1203,A62,بیشتر از ۷ سال,3,مرد مجرد,A101,2,A122,43,A143,A152,1,کارگر ماهر,1,A192,A201,1,45-36,2000-1000
بدون حساب جاری,6,وضعیت بحرانی/سایر,رادیو/تلویزیون,700,A65,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A124,36,A143,A153,2,کارگر ماهر,1,A191,A201,1,45-36,کمتر از 1000
بدون حساب جاری,24,وضعیت بحرانی/سایر,تعمیرات,5507,A61,بیشتر از ۷ سال,3,مرد مجرد,A101,4,A124,44,A143,A153,2,کارگر ماهر,1,A191,A201,1,45-36,10000-5000
کمتر از ۰ مارک,18,وام های موجود پرداخت شده,رادیو/تلویزیون,3190,A61,۱-۴ سال,2,زن مطلقه/جدا شده/متاهل,A101,2,A121,24,A143,A152,1,کارگر ماهر,1,A191,A201,0,25-18,5000-2000
کمتر از ۰ مارک,48,بدون وام/همه پرداخت شده,لوازم خانگی,7119,A61,۱-۴ سال,3,مرد مجرد,A101,4,A124,53,A143,A153,2,کارگر ماهر,2,A191,A201,0,55-46,10000-5000
بدون حساب جاری,24,وام های موجود پرداخت شده,خودرو (کارکرده),3488,A62,۴-۷ سال,3,زن مطلقه/جدا شده/متاهل,A101,4,A123,23,A143,A152,1,کارگر ماهر,1,A191,A201,1,25-18,5000-2000
۰-۲۰۰ مارک,18,وام های موجود پرداخت شده,رادیو/تلویزیون,1113,A61,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A103,4,A121,26,A143,A152,1,کارگر ساده,2,A191,A201,1,35-26,2000-1000
۰-۲۰۰ مارک,26,وام های موجود پرداخت شده,خودرو (کارکرده),7966,A61,کمتر از ۱ سال,2,مرد مجرد,A101,3,A123,30,A143,A152,2,کارگر ماهر,1,A191,A201,1,35-26,10000-5000
بدون حساب جاری,15,وضعیت بحرانی/سایر,آموزش,1532,A62,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,3,A123,31,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,2000-1000
بدون حساب جاری,4,وضعیت بحرانی/سایر,رادیو/تلویزیون,1503,A61,۴-۷ سال,2,مرد مجرد,A101,1,A121,42,A143,A152,2,کارگر ساده,2,A191,A201,1,45-36,2000-1000
کمتر از ۰ مارک,36,وام های موجود پرداخت شده,رادیو/تلویزیون,2302,A61,۱-۴ سال,4,مرد مطلقه/جدا شده,A101,4,A123,31,A143,A151,1,کارگر ماهر,1,A191,A201,0,35-26,5000-2000
کمتر از ۰ مارک,6,وام های موجود پرداخت شده,خودرو (نو),662,A61,کمتر از ۱ سال,3,مرد مجرد,A101,4,A121,41,A143,A152,1,کارگر ساده,2,A192,A201,1,45-36,کمتر از 1000
۰-۲۰۰ مارک,36,وام های موجود پرداخت شده,آموزش,2273,A61,۴-۷ سال,3,مرد مجرد,A101,1,A123,32,A143,A152,2,کارگر ماهر,2,A191,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,15,وام های موجود پرداخت شده,خودرو (نو),2631,A62,۱-۴ سال,2,زن مطلقه/جدا شده/متاهل,A101,4,A123,28,A143,A151,2,کارگر ماهر,1,A192,A201,0,35-26,5000-2000
بدون حساب جاری,12,تاخیر پرداخت شده,خودرو (کارکرده),1503,A61,۱-۴ سال,4,مرد متاهل/بیوه,A101,4,A121,41,A143,A151,1,کارگر ماهر,1,A191,A201,1,45-36,2000-1000
بدون حساب جاری,24,وام های موجود پرداخت شده,رادیو/تلویزیون,1311,A62,۴-۷ سال,4,مرد متاهل/بیوه,A101,3,A122,26,A143,A152,1,کارگر ماهر,1,A192,A201,1,35-26,2000-1000
بدون حساب جاری,24,وام های موجود پرداخت شده,رادیو/تلویزیون,3105,A65,کمتر از ۱ سال,4,مرد مجرد,A101,2,A123,25,A143,A152,2,کارگر ماهر,1,A191,A201,1,25-18,5000-2000
بیشتر از ۲۰۰ مارک,21,وضعیت بحرانی/سایر,آموزش,2319,A61,کمتر از ۱ سال,2,مرد مطلقه/جدا شده,A101,1,A123,33,A143,A151,1,کارگر ماهر,1,A191,A201,0,35-26,5000-2000
کمتر از ۰ مارک,6,وام های موجود پرداخت شده,خودرو (نو),1374,A65,بیکار,4,زن مطلقه/جدا شده/متاهل,A101,3,A122,75,A143,A152,1,مدیر/خویش فرما,1,A192,A201,1,75+,2000-1000
۰-۲۰۰ مارک,18,وضعیت بحرانی/سایر,لوازم خانگی,3612,A61,بیشتر از ۷ سال,3,زن مطلقه/جدا شده/متاهل,A101,4,A122,37,A143,A152,1,کارگر ماهر,1,A192,A201,1,45-36,5000-2000
کمتر از ۰ مارک,48,وام های موجود پرداخت شده,خودرو (نو),7763,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A124,42,A141,A153,1,مدیر/خویش فرما,1,A191,A201,0,45-36,10000-5000
بیشتر از ۲۰۰ مارک,18,وام های موجود پرداخت شده,لوازم خانگی,3049,A61,کمتر از ۱ سال,1,زن مطلقه/جدا شده/متاهل,A101,1,A122,45,A142,A152,1,کارگر ساده,1,A191,A201,1,45-36,5000-2000
۰-۲۰۰ مارک,12,وام های موجود پرداخت شده,رادیو/تلویزیون,1534,A61,کمتر از ۱ سال,1,مرد متاهل/بیوه,A101,1,A121,23,A143,A151,1,کارگر ماهر,1,A191,A201,0,25-18,2000-1000
بدون حساب جاری,24,تاخیر پرداخت شده,خودرو (نو),2032,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A124,60,A143,A153,2,کارگر ماهر,1,A192,A201,1,65-56,5000-2000
کمتر از ۰ مارک,30,وام های موجود پرداخت شده,لوازم خانگی,6350,A65,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A122,31,A143,A152,1,کارگر ماهر,1,A191,A201,0,35-26,10000-5000
بیشتر از ۲۰۰ مارک,18,وام های موجود پرداخت شده,لوازم خانگی,2864,A61,۱-۴ سال,2,مرد مجرد,A101,1,A121,34,A143,A152,1,کارگر ساده,2,A191,A201,0,35-26,5000-2000
بدون حساب جاری,12,وضعیت بحرانی/سایر,خودرو (نو),1255,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A121,61,A143,A152,2,کارگر ساده,1,A191,A201,1,65-56,2000-1000
کمتر از ۰ مارک,24,تاخیر پرداخت شده,خودرو (نو),1333,A61,بیکار,4,مرد مجرد,A101,2,A121,43,A143,A153,2,کارگر ماهر,2,A191,A201,0,45-36,2000-1000
بدون حساب جاری,24,وضعیت بحرانی/سایر,خودرو (نو),2022,A61,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A123,37,A143,A152,1,کارگر ماهر,1,A192,A201,1,45-36,5000-2000
بدون حساب جاری,24,وام های موجود پرداخت شده,رادیو/تلویزیون,1552,A61,۴-۷ سال,3,مرد مجرد,A101,1,A123,32,A141,A152,1,کارگر ماهر,2,A191,A201,1,35-26,2000-1000
کمتر از ۰ مارک,12,همه پرداخت شده,رادیو/تلویزیون,626,A61,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A121,24,A141,A152,1,کارگر ساده,1,A191,A201,0,25-18,کمتر از 1000
بدون حساب جاری,48,وضعیت بحرانی/سایر,خودرو (کارکرده),8858,A65,۴-۷ سال,2,مرد مجرد,A101,1,A124,35,A143,A153,2,کارگر ماهر,1,A192,A201,1,35-26,10000-5000
بدون حساب جاری,12,وضعیت بحرانی/سایر,تعمیرات,996,A65,۴-۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A121,23,A143,A152,2,کارگر ماهر,1,A191,A201,1,25-18,کمتر از 1000
بدون حساب جاری,6,همه پرداخت شده,رادیو/تلویزیون,1750,A63,بیشتر از ۷ سال,2,مرد مجرد,A101,4,A122,45,A141,A152,1,کارگر ساده,2,A191,A201,1,45-36,2000-1000
کمتر از ۰ مارک,48,وام های موجود پرداخت شده,رادیو/تلویزیون,6999,A61,۴-۷ سال,1,مرد متاهل/بیوه,A103,1,A121,34,A143,A152,2,کارگر ماهر,1,A192,A201,0,35-26,10000-5000
۰-۲۰۰ مارک,12,وضعیت بحرانی/سایر,خودرو (نو),1995,A62,کمتر از ۱ سال,4,مرد مجرد,A101,1,A123,27,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,2000-1000
۰-۲۰۰ مارک,9,وام های موجود پرداخت شده,آموزش,1199,A61,۴-۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A122,67,A143,A152,2,مدیر/خویش فرما,1,A192,A201,1,75+,2000-1000
۰-۲۰۰ مارک,12,وام های موجود پرداخت شده,رادیو/تلویزیون,1331,A61,کمتر از ۱ سال,2,مرد مجرد,A101,1,A123,22,A142,A152,1,کارگر ماهر,1,A191,A201,0,25-18,2000-1000
۰-۲۰۰ مارک,18,بدون وام/همه پرداخت شده,خودرو (نو),2278,A62,کمتر از ۱ سال,3,زن مطلقه/جدا شده/متاهل,A101,3,A123,28,A143,A152,2,کارگر ماهر,1,A191,A201,0,35-26,5000-2000
بدون حساب جاری,21,بدون وام/همه پرداخت شده,خودرو (نو),5003,A65,۱-۴ سال,1,زن مطلقه/جدا شده/متاهل,A101,4,A122,29,A141,A152,2,کارگر ماهر,1,A192,A201,0,35-26,10000-5000
کمتر از ۰ مارک,24,همه پرداخت شده,لوازم خانگی,3552,A61,۴-۷ سال,3,مرد مجرد,A101,4,A123,27,A141,A152,1,کارگر ماهر,1,A191,A201,0,35-26,5000-2000
۰-۲۰۰ مارک,18,وضعیت بحرانی/سایر,لوازم خانگی,1928,A61,کمتر از ۱ سال,2,مرد مجرد,A101,2,A121,31,A143,A152,2,کارگر ساده,1,A191,A201,0,35-26,2000-1000
کمتر از ۰ مارک,24,وام های موجود پرداخت شده,خودرو (کارکرده),2964,A65,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A124,49,A141,A153,1,کارگر ماهر,2,A192,A201,1,55-46,5000-2000
کمتر از ۰ مارک,24,همه پرداخت شده,رادیو/تلویزیون,1546,A61,۴-۷ سال,4,مرد مجرد,A103,4,A123,24,A141,A151,1,کارگر ساده,1,A191,A201,0,25-18,2000-1000
بیشتر از ۲۰۰ مارک,6,تاخیر پرداخت شده,رادیو/تلویزیون,683,A61,کمتر از ۱ سال,2,زن مطلقه/جدا شده/متاهل,A101,1,A122,29,A141,A152,1,کارگر ماهر,1,A191,A201,1,35-26,کمتر از 1000
۰-۲۰۰ مارک,36,وام های موجود پرداخت شده,خودرو (نو),12389,A65,۱-۴ سال,1,مرد مجرد,A101,4,A124,37,A143,A153,1,کارگر ماهر,1,A192,A201,0,45-36,بیشتر از 10000
۰-۲۰۰ مارک,24,تاخیر پرداخت شده,کسب و کار,4712,A65,۱-۴ سال,4,مرد مجرد,A101,2,A122,37,A141,A152,2,مدیر/خویش فرما,1,A192,A201,1,45-36,5000-2000
۰-۲۰۰ مارک,24,تاخیر پرداخت شده,رادیو/تلویزیون,1553,A62,۴-۷ سال,3,زن مطلقه/جدا شده/متاهل,A101,2,A122,23,A143,A151,2,کارگر ماهر,1,A192,A201,1,25-18,2000-1000
کمتر از ۰ مارک,12,وام های موجود پرداخت شده,خودرو (نو),1372,A61,۴-۷ سال,2,مرد مطلقه/جدا شده,A101,3,A123,36,A143,A152,1,کارگر ماهر,1,A191,A201,0,45-36,2000-1000
بدون حساب جاری,24,وضعیت بحرانی/سایر,رادیو/تلویزیون,2578,A64,بیشتر از ۷ سال,2,مرد مجرد,A101,2,A123,34,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,48,وام های موجود پرداخت شده,رادیو/تلویزیون,3979,A65,۴-۷ سال,4,مرد مجرد,A101,1,A123,41,A143,A152,2,کارگر ماهر,2,A192,A201,1,45-36,5000-2000
کمتر از ۰ مارک,48,وام های موجود پرداخت شده,رادیو/تلویزیون,6758,A61,۱-۴ سال,3,زن مطلقه/جدا شده/متاهل,A101,2,A123,31,A143,A152,1,کارگر ماهر,1,A192,A201,0,35-26,10000-5000
کمتر از ۰ مارک,24,وام های موجود پرداخت شده,لوازم خانگی,3234,A61,کمتر از ۱ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A121,23,A143,A151,1,کارگر ساده,1,A192,A201,0,25-18,5000-2000
بدون حساب جاری,30,وضعیت بحرانی/سایر,رادیو/تلویزیون,5954,A61,۴-۷ سال,3,مرد مجرد,A102,2,A123,38,A143,A152,1,کارگر ماهر,1,A191,A201,1,45-36,10000-5000
بدون حساب جاری,24,وام های موجود پرداخت شده,خودرو (کارکرده),5433,A65,بیکار,2,زن مطلقه/جدا شده/متاهل,A101,4,A122,26,A143,A151,1,مدیر/خویش فرما,1,A192,A201,1,35-26,10000-5000
کمتر از ۰ مارک,15,وام های موجود پرداخت شده,کسب و کار,806,A61,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A122,22,A143,A152,1,کارگر ساده,1,A191,A201,1,25-18,کمتر از 1000
۰-۲۰۰ مارک,9,وام های موجود پرداخت شده,رادیو/تلویزیون,1082,A61,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A123,27,A143,A152,2,کارگر ساده,1,A191,A201,1,35-26,2000-1000
بدون حساب جاری,15,وضعیت بحرانی/سایر,لوازم خانگی,2788,A61,۴-۷ سال,2,زن مطلقه/جدا شده/متاهل,A102,3,A123,24,A141,A152,2,کارگر ماهر,1,A191,A201,1,25-18,5000-2000
۰-۲۰۰ مارک,12,وام های موجود پرداخت شده,رادیو/تلویزیون,2930,A61,۴-۷ سال,2,زن مطلقه/جدا شده/متاهل,A101,1,A121,27,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
بدون حساب جاری,24,وضعیت بحرانی/سایر,آموزش,1927,A65,۱-۴ سال,3,زن مطلقه/جدا شده/متاهل,A101,2,A123,33,A143,A152,2,کارگر ماهر,1,A192,A201,1,35-26,2000-1000
۰-۲۰۰ مارک,36,وضعیت بحرانی/سایر,خودرو (نو),2820,A61,کمتر از ۱ سال,4,مرد مطلقه/جدا شده,A101,4,A123,27,A143,A152,2,کارگر ماهر,1,A191,A201,0,35-26,5000-2000
بدون حساب جاری,24,وام های موجود پرداخت شده,آموزش مجدد,937,A61,کمتر از ۱ سال,4,مرد متاهل/بیوه,A101,3,A123,27,A143,A152,2,کارگر ساده,1,A191,A201,1,35-26,کمتر از 1000
۰-۲۰۰ مارک,18,وضعیت بحرانی/سایر,خودرو (نو),1056,A61,بیشتر از ۷ سال,3,مرد مجرد,A103,3,A121,30,A141,A152,2,کارگر ماهر,1,A191,A201,0,35-26,2000-1000
۰-۲۰۰ مارک,12,وضعیت بحرانی/سایر,خودرو (نو),3124,A61,کمتر از ۱ سال,1,مرد مجرد,A101,3,A121,49,A141,A152,2,کارگر ساده,2,A191,A201,1,55-46,5000-2000
بدون حساب جاری,9,وام های موجود پرداخت شده,لوازم خانگی,1388,A61,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,2,A121,26,A143,A151,1,کارگر ماهر,1,A191,A201,1,35-26,2000-1000
۰-۲۰۰ مارک,36,وام های موجود پرداخت شده,تعمیرات,2384,A61,کمتر از ۱ سال,4,مرد مجرد,A101,1,A124,33,A143,A151,1,کارگر ساده,1,A191,A201,0,35-26,5000-2000
بدون حساب جاری,12,وام های موجود پرداخت شده,خودرو (نو),2133,A65,بیشتر از ۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A124,52,A143,A153,1,مدیر/خویش فرما,1,A192,A201,1,55-46,5000-2000
کمتر از ۰ مارک,18,وام های موجود پرداخت شده,لوازم خانگی,2039,A61,۱-۴ سال,1,زن مطلقه/جدا شده/متاهل,A101,4,A121,20,A141,A151,1,کارگر ماهر,1,A191,A201,0,25-18,5000-2000
کمتر از ۰ مارک,9,وضعیت بحرانی/سایر,خودرو (نو),2799,A61,۱-۴ سال,2,مرد مجرد,A101,2,A121,36,A143,A151,2,کارگر ماهر,2,A191,A201,1,45-36,5000-2000
کمتر از ۰ مارک,12,وام های موجود پرداخت شده,لوازم خانگی,1289,A61,۱-۴ سال,4,مرد مجرد,A103,1,A122,21,A143,A152,1,کارگر ساده,1,A191,A201,1,25-18,2000-1000
کمتر از ۰ مارک,18,وام های موجود پرداخت شده,وسایل خانه,1217,A61,۱-۴ سال,4,مرد متاهل/بیوه,A101,3,A121,47,A143,A152,1,کارگر ساده,1,A192,A201,0,55-46,2000-1000
کمتر از ۰ مارک,12,وضعیت بحرانی/سایر,لوازم خانگی,2246,A61,بیشتر از ۷ سال,3,مرد مجرد,A101,3,A122,60,A143,A152,2,کارگر ماهر,1,A191,A201,0,65-56,5000-2000
کمتر از ۰ مارک,12,وضعیت بحرانی/سایر,رادیو/تلویزیون,385,A61,۴-۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,3,A121,58,A143,A152,4,کارگر ساده,1,A192,A201,1,65-56,کمتر از 1000
۰-۲۰۰ مارک,24,تاخیر پرداخت شده,خودرو (نو),1965,A65,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A123,42,A143,A151,2,کارگر ماهر,1,A192,A201,1,45-36,2000-1000
بدون حساب جاری,21,وام های موجود پرداخت شده,کسب و کار,1572,A64,بیشتر از ۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A121,36,A141,A152,1,کارگر ساده,1,A191,A201,1,45-36,2000-1000
۰-۲۰۰ مارک,24,وام های موجود پرداخت شده,خودرو (نو),2718,A61,۱-۴ سال,3,زن مطلقه/جدا شده/متاهل,A101,4,A122,20,A143,A151,1,کارگر ساده,1,A192,A201,0,25-18,5000-2000
کمتر از ۰ مارک,24,همه پرداخت شده,سایر,1358,A65,بیشتر از ۷ سال,4,مرد مجرد,A101,3,A123,40,A142,A152,1,مدیر/خویش فرما,1,A192,A201,0,45-36,2000-1000
۰-۲۰۰ مارک,6,همه پرداخت شده,خودرو (نو),931,A62,کمتر از ۱ سال,1,زن مطلقه/جدا شده/متاهل,A101,1,A122,32,A142,A152,1,کارگر ساده,1,A191,A201,0,35-26,کمتر از 1000
کمتر از ۰ مارک,24,وام های موجود پرداخت شده,خودرو (نو),1442,A61,۴-۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A123,23,A143,A151,2,کارگر ماهر,1,A191,A201,0,25-18,2000-1000
۰-۲۰۰ مارک,24,بدون وام/همه پرداخت شده,کسب و کار,4241,A61,۱-۴ سال,1,مرد مجرد,A101,4,A121,36,A143,A152,3,کارگر ساده,1,A192,A201,0,45-36,5000-2000
بدون حساب جاری,18,وضعیت بحرانی/سایر,خودرو (نو),2775,A61,۴-۷ سال,2,مرد مجرد,A101,2,A122,31,A141,A152,2,کارگر ماهر,1,A191,A201,0,35-26,5000-2000
بدون حساب جاری,24,تاخیر پرداخت شده,کسب و کار,3863,A61,۱-۴ سال,1,مرد مجرد,A101,2,A124,32,A143,A153,1,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
۰-۲۰۰ مارک,7,وام های موجود پرداخت شده,رادیو/تلویزیون,2329,A61,کمتر از ۱ سال,1,زن مطلقه/جدا شده/متاهل,A103,1,A121,45,A143,A152,1,کارگر ماهر,1,A191,A201,1,45-36,5000-2000
۰-۲۰۰ مارک,9,وام های موجود پرداخت شده,لوازم خانگی,918,A61,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,1,A122,30,A143,A152,1,کارگر ماهر,1,A191,A201,0,35-26,کمتر از 1000
۰-۲۰۰ مارک,24,همه پرداخت شده,آموزش,1837,A61,۴-۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,4,A124,34,A141,A153,1,کارگر ساده,1,A191,A201,0,35-26,2000-1000
بدون حساب جاری,36,وام های موجود پرداخت شده,لوازم خانگی,3349,A61,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A101,2,A123,28,A143,A152,1,مدیر/خویش فرما,1,A192,A201,0,35-26,5000-2000
بیشتر از ۲۰۰ مارک,10,وام های موجود پرداخت شده,لوازم خانگی,1275,A61,کمتر از ۱ سال,4,زن مطلقه/جدا شده/متاهل,A101,2,A122,23,A143,A152,1,کارگر ماهر,1,A191,A201,1,25-18,2000-1000
کمتر از ۰ مارک,24,همه پرداخت شده,لوازم خانگی,2828,A63,۱-۴ سال,4,مرد مجرد,A101,4,A121,22,A142,A152,1,کارگر ماهر,1,A192,A201,1,25-18,5000-2000
بدون حساب جاری,24,وضعیت بحرانی/سایر,کسب و کار,4526,A61,۱-۴ سال,3,مرد مجرد,A101,2,A121,74,A143,A152,1,مدیر/خویش فرما,1,A192,A201,1,75+,5000-2000
۰-۲۰۰ مارک,36,وام های موجود پرداخت شده,رادیو/تلویزیون,2671,A62,۱-۴ سال,4,زن مطلقه/جدا شده/متاهل,A102,4,A124,50,A143,A153,1,کارگر ماهر,1,A191,A201,0,55-46,5000-2000
بدون حساب جاری,18,وام های موجود پرداخت شده,رادیو/تلویزیون,2051,A61,کمتر از ۱ سال,4,مرد مجرد,A101,1,A121,33,A143,A152,1,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
بدون حساب جاری,15,وام های موجود پرداخت شده,خودرو (کارکرده),1300,A65,بیشتر از ۷ سال,4,مرد مجرد,A101,4,A124,45,A141,A153,1,کارگر ماهر,2,A191,A201,1,45-36,2000-1000
کمتر از ۰ مارک,12,وام های موجود پرداخت شده,وسایل خانه,741,A62,بیکار,4,زن مطلقه/جدا شده/متاهل,A101,3,A122,22,A143,A152,1,کارگر ماهر,1,A191,A201,0,25-18,کمتر از 1000
بیشتر از ۲۰۰ مارک,10,وام های موجود پرداخت شده,خودرو (نو),1240,A62,بیشتر از ۷ سال,1,زن مطلقه/جدا شده/متاهل,A101,4,A124,48,A143,A153,1,کارگر ساده,2,A191,A201,0,55-46,2000-1000
کمتر از ۰ مارک,21,وام های موجود پرداخت شده,رادیو/تلویزیون,3357,A64,کمتر از ۱ سال,4,زن مطلقه/جدا شده/متاهل,A101,2,A123,29,A141,A152,1,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
کمتر از ۰ مارک,24,همه پرداخت شده,خودرو (کارکرده),3632,A61,۱-۴ سال,1,زن مطلقه/جدا شده/متاهل,A103,4,A123,22,A141,A151,1,کارگر ماهر,1,A191,A202,1,25-18,5000-2000
بدون حساب جاری,18,تاخیر پرداخت شده,لوازم خانگی,1808,A61,۴-۷ سال,4,زن مطلقه/جدا شده/متاهل,A101,1,A121,22,A143,A152,1,کارگر ماهر,1,A191,A201,0,25-18,2000-1000
۰-۲۰۰ مارک,48,بدون وام/همه پرداخت شده,کسب و کار,12204,A65,۱-۴ سال,2,مرد مجرد,A101,2,A123,48,A141,A152,1,مدیر/خویش فرما,1,A192,A201,1,55-46,بیشتر از 10000
۰-۲۰۰ مارک,60,تاخیر پرداخت شده,رادیو/تلویزیون,9157,A65,۱-۴ سال,2,مرد مجرد,A101,2,A124,27,A143,A153,1,مدیر/خویش فرما,1,A191,A201,1,35-26,10000-5000
کمتر از ۰ مارک,6,وضعیت بحرانی/سایر,خودرو (نو),3676,A61,۱-۴ سال,1,مرد مجرد,A101,3,A121,37,A143,A151,3,کارگر ماهر,2,A191,A201,1,45-36,5000-2000
۰-۲۰۰ مارک,30,وام های موجود پرداخت شده,لوازم خانگی,3441,A62,۱-۴ سال,2,زن مطلقه/جدا شده/متاهل,A102,4,A123,21,A143,A151,1,کارگر ماهر,1,A191,A201,0,25-18,5000-2000
بدون حساب جاری,12,وام های موجود پرداخت شده,خودرو (نو),640,A61,۱-۴ سال,4,مرد مطلقه/جدا شده,A101,2,A121,49,A143,A152,1,کارگر ساده,1,A191,A201,1,55-46,کمتر از 1000
۰-۲۰۰ مارک,21,وضعیت بحرانی/سایر,کسب و کار,3652,A61,۴-۷ سال,2,مرد مجرد,A101,3,A122,27,A143,A152,2,کارگر ماهر,1,A191,A201,1,35-26,5000-2000
بدون حساب جاری,18,وضعیت بحرانی/سایر,خودرو (نو),1530,A61,۱-۴ سال,3,مرد مجرد,A101,2,A122,32,A141,A152,2,کارگر ماهر,1,A191,A201,0,35-26,2000-1000
بدون حساب جاری,48,وام های موجود پرداخت شده,کسب و کار,3914,A65,۱-۴ سال,4,مرد مطلقه/جدا شده,A101,2,A121,38,A141,A152,1,کارگر ماهر,1,A191,A201,0,45-36,5000-2000
کمتر از ۰ مارک,12,وام های موجود پرداخت شده,لوازم خانگی,1858,A61,کمتر از ۱ سال,4,زن مطلقه/جدا شده/متاهل,A101,1,A123,22,A143,A151,1,کارگر ماهر,1,A191,A201,1,25-18,2000-1000
