status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,age_group
no account,18,existing paid,radio/TV,1473,A61,<1 year,3,A94,A101,4,A121,39,A143,A152,1,A173,1,A192,A201,1,36-45
0-200 DM,18,critical/other,business,1887,A65,1-4 years,4,A94,A101,4,A121,28,A141,A152,2,A173,1,A191,A201,1,26-35
no account,24,delay paid,business,8648,A61,<1 year,2,A93,A101,2,A123,27,A141,A152,2,A173,1,A192,A201,0,26-35
no account,14,delay paid,car (new),802,A61,1-4 years,4,A93,A101,2,A123,27,A143,A152,2,A172,1,A191,A201,1,26-35
0-200 DM,18,delay paid,car (new),2899,A65,>=7 years,4,A93,A101,4,A123,43,A143,A152,1,A173,2,A191,A201,1,36-45
0-200 DM,24,existing paid,radio/TV,2039,A61,<1 year,1,A94,A101,1,A122,22,A143,A152,1,A173,1,A192,A201,0,18-25
no account,24,critical/other,car (used),2197,A65,4-7 years,4,A93,A101,4,A123,43,A143,A152,2,A173,2,A192,A201,1,36-45
<0 DM,15,existing paid,radio/TV,1053,A61,<1 year,4,A94,A101,2,A121,27,A143,A152,1,A173,1,A191,A202,1,26-35
no account,24,existing paid,radio/TV,3235,A63,>=7 years,3,A91,A101,2,A123,26,A143,A152,1,A174,1,A192,A201,1,26-35
>=200 DM,12,critical/other,car (new),939,A63,4-7 years,4,A94,A101,2,A121,28,A143,A152,3,A173,1,A192,A201,0,26-35
0-200 DM,24,existing paid,radio/TV,1967,A61,>=7 years,4,A92,A101,4,A123,20,A143,A152,1,A173,1,A192,A201,1,18-25
no account,33,critical/other,car (used),7253,A61,4-7 years,3,A93,A101,2,A123,35,A143,A152,2,A174,1,A192,A201,1,26-35
no account,12,critical/other,business,2292,A61,unemployed,4,A93,A101,2,A123,42,A142,A152,2,A174,1,A192,A201,0,36-45
no account,10,existing paid,car (new),1597,A63,1-4 years,3,A93,A101,2,A124,40,A143,A151,1,A172,2,A191,A202,1,36-45
<0 DM,24,existing paid,car (new),1381,A65,1-4 years,4,A92,A101,2,A122,35,A143,A152,1,A173,1,A191,A201,0,26-35
no account,36,critical/other,car (used),5842,A61,>=7 years,2,A93,A101,2,A122,35,A143,A152,2,A173,2,A192,A201,1,26-35
<0 DM,12,existing paid,car (new),2579,A61,<1 year,4,A93,A101,1,A121,33,A143,A152,1,A172,2,A191,A201,0,26-35
<0 DM,18,delay paid,education,8471,A65,1-4 years,1,A92,A101,2,A123,23,A143,A151,2,A173,1,A192,A201,1,18-25
no account,21,existing paid,car (new),2782,A63,4-7 years,1,A92,A101,2,A123,31,A141,A152,1,A174,1,A191,A201,1,26-35
0-200 DM,18,existing paid,car (new),1042,A65,1-4 years,4,A92,A101,2,A122,33,A143,A152,1,A173,1,A191,A201,0,26-35
no account,15,existing paid,car (new),3186,A64,4-7 years,2,A92,A101,3,A123,20,A143,A151,1,A173,1,A191,A201,1,18-25
0-200 DM,12,existing paid,car (used),2028,A65,1-4 years,4,A93,A101,2,A123,30,A143,A152,1,A173,1,A191,A201,1,26-35
0-200 DM,12,critical/other,car (new),958,A61,4-7 years,2,A93,A101,3,A121,47,A143,A152,2,A172,2,A191,A201,1,46-55
no account,21,delay paid,furniture/equipment,1591,A62,4-7 years,4,A93,A101,3,A121,34,A143,A152,2,A174,1,A191,A201,1,26-35
0-200 DM,12,existing paid,furniture/equipment,2762,A65,>=7 years,1,A92,A101,2,A122,25,A141,A152,1,A173,1,A192,A201,0,18-25
0-200 DM,18,existing paid,car (used),2779,A61,1-4 years,1,A94,A101,3,A123,21,A143,A151,1,A173,1,A192,A201,1,18-25
no account,28,critical/other,radio/TV,2743,A61,>=7 years,4,A93,A101,2,A123,29,A143,A152,2,A173,1,A191,A201,1,26-35
no account,18,critical/other,radio/TV,1149,A64,1-4 years,4,A93,A101,3,A121,46,A143,A152,2,A173,1,A191,A201,1,46-55
no account,9,existing paid,furniture/equipment,1313,A61,>=7 years,1,A93,A101,4,A123,20,A143,A152,1,A173,1,A191,A201,1,18-25
<0 DM,18,critical/other,repairs,1190,A61,unemployed,2,A92,A101,4,A124,55,A143,A153,3,A171,2,A191,A201,0,46-55
no account,5,existing paid,business,3448,A61,4-7 years,1,A93,A101,4,A121,74,A143,A152,1,A172,1,A191,A201,1,66+
0-200 DM,24,existing paid,others,11328,A61,1-4 years,2,A93,A102,3,A123,29,A141,A152,2,A174,1,A192,A201,0,26-35
<0 DM,6,critical/other,furniture/equipment,1872,A61,unemployed,4,A93,A101,4,A124,36,A143,A153,3,A174,1,A192,A201,1,36-45
no account,24,critical/other,repairs,2058,A61,1-4 years,4,A91,A101,2,A121,33,A143,A152,2,A173,1,A192,A201,1,26-35
<0 DM,9,existing paid,furniture/equipment,2136,A61,1-4 years,3,A93,A101,2,A121,25,A143,A152,1,A173,1,A191,A201,1,18-25
0-200 DM,12,existing paid,radio/TV,1484,A65,1-4 years,2,A94,A101,1,A121,25,A143,A152,1,A173,1,A192,A201,0,18-25
no account,6,existing paid,repairs,660,A63,4-7 years,2,A94,A101,4,A121,23,A143,A151,1,A172,1,A191,A201,1,18-25
no account,24,critical/other,car (new),1287,A64,>=7 years,4,A92,A101,4,A121,37,A143,A152,2,A173,1,A192,A201,1,36-45
<0 DM,42,critical/other,repairs,3394,A61,unemployed,4,A93,A102,4,A123,65,A143,A152,2,A171,1,A191,A201,1,56-65
>=200 DM,12,all paid,business,609,A61,<1 year,4,A92,A101,1,A121,26,A143,A152,1,A171,1,A191,A201,0,26-35
no account,12,existing paid,car (new),1884,A61,>=7 years,4,A93,A101,4,A123,39,A143,A152,1,A174,1,A192,A201,1,36-45
<0 DM,12,existing paid,furniture/equipment,1620,A61,1-4 years,2,A92,A102,3,A122,30,A143,A152,1,A173,1,A191,A201,1,26-35
0-200 DM,20,delay paid,others,2629,A61,1-4 years,2,A93,A101,3,A123,29,A141,A152,2,A173,1,A192,A201,1,26-35
no account,12,existing paid,education,719,A61,>=7 years,4,A93,A101,4,A123,41,A141,A152,1,A172,2,A191,A201,0,36-45
0-200 DM,48,critical/other,furniture/equipment,5096,A61,1-4 years,2,A92,A101,3,A123,30,A143,A152,1,A174,1,A192,A201,0,26-35
no account,9,critical/other,education,1244,A65,>=7 years,4,A92,A101,4,A122,41,A143,A151,2,A172,1,A191,A201,1,36-45
<0 DM,36,existing paid,car (new),1842,A61,<1 year,4,A92,A101,4,A123,34,A143,A152,1,A173,1,A192,A201,0,26-35
0-200 DM,7,existing paid,radio/TV,2576,A61,1-4 years,2,A93,A103,2,A121,35,A143,A152,1,A173,1,A191,A201,1,26-35
>=200 DM,12,existing paid,furniture/equipment,1424,A65,>=7 years,3,A92,A101,4,A121,55,A143,A152,1,A174,1,A192,A201,1,46-55
0-200 DM,15,delay paid,repairs,1512,A64,1-4 years,3,A94,A101,3,A122,61,A142,A152,2,A173,1,A191,A201,0,56-65
no account,36,critical/other,car (used),11054,A65,1-4 years,4,A93,A101,2,A123,30,A143,A152,1,A174,1,A192,A201,1,26-35
no account,6,existing paid,radio/TV,518,A61,1-4 years,3,A92,A101,1,A121,29,A143,A152,1,A173,1,A191,A201,1,26-35
no account,12,no credits/all paid,furniture/equipment,2759,A61,>=7 years,2,A93,A101,4,A122,34,A143,A152,2,A173,1,A191,A201,1,26-35
no account,24,existing paid,car (used),2670,A61,>=7 years,4,A93,A101,4,A123,35,A143,A152,1,A174,1,A192,A201,1,26-35
<0 DM,24,existing paid,car (new),4817,A61,4-7 years,2,A93,A102,3,A122,31,A143,A152,1,A173,1,A192,A201,0,26-35
no account,24,existing paid,car (used),2679,A61,<1 year,4,A92,A101,1,A124,29,A143,A152,1,A174,1,A192,A201,1,26-35
<0 DM,11,critical/other,car (new),3905,A61,1-4 years,2,A93,A101,2,A121,36,A143,A151,2,A173,2,A191,A201,1,36-45
<0 DM,12,existing paid,car (used),3386,A61,>=7 years,3,A93,A101,4,A124,35,A143,A153,1,A173,1,A192,A201,0,26-35
<0 DM,6,existing paid,domestic appliances,343,A61,<1 year,4,A92,A101,1,A121,27,A143,A152,1,A173,1,A191,A201,1,26-35
no account,18,existing paid,radio/TV,4594,A61,<1 year,3,A93,A101,2,A123,32,A143,A152,1,A173,1,A192,A201,1,26-35
<0 DM,36,existing paid,furniture/equipment,3620,A61,1-4 years,1,A93,A103,2,A122,37,A143,A152,1,A173,2,A191,A201,1,36-45
<0 DM,15,existing paid,car (new),1721,A61,<1 year,2,A93,A101,3,A121,36,A143,A152,1,A173,1,A191,A201,1,36-45
0-200 DM,12,existing paid,furniture/equipment,3017,A61,<1 year,3,A92,A101,1,A121,34,A143,A151,1,A174,1,A191,A201,1,26-35
0-200 DM,12,existing paid,retraining,754,A65,>=7 years,4,A93,A101,4,A122,38,A143,A152,2,A173,1,A191,A201,1,36-45
no account,18,existing paid,business,1950,A61,4-7 years,4,A93,A101,1,A123,34,A142,A152,2,A173,1,A192,A201,1,26-35
<0 DM,24,existing paid,car (used),2924,A61,1-4 years,3,A93,A103,4,A124,63,A141,A152,1,A173,2,A192,A201,1,56-65
<0 DM,24,delay paid,radio/TV,1659,A61,<1 year,4,A92,A101,2,A123,29,A143,A151,1,A172,1,A192,A201,0,26-35
no account,48,delay paid,radio/TV,7238,A65,>=7 years,3,A93,A101,3,A123,32,A141,A152,2,A173,2,A191,A201,1,26-35
no account,33,delay paid,business,2764,A61,1-4 years,2,A92,A101,2,A123,26,A143,A152,2,A173,1,A192,A201,1,26-35
no account,24,delay paid,car (used),4679,A61,4-7 years,3,A93,A101,3,A123,35,A143,A152,2,A172,1,A192,A201,1,26-35
0-200 DM,24,existing paid,radio/TV,3092,A62,<1 year,3,A94,A101,2,A123,22,A143,A151,1,A173,1,A192,A201,0,18-25
<0 DM,6,existing paid,education,448,A61,<1 year,4,A92,A101,4,A122,23,A143,A152,1,A173,1,A191,A201,0,18-25
<0 DM,9,existing paid,car (new),654,A61,1-4 years,4,A93,A101,3,A123,28,A143,A152,1,A172,1,A191,A201,0,26-35
no account,6,existing paid,retraining,1238,A65,unemployed,4,A93,A101,4,A122,36,A143,A152,1,A174,2,A192,A201,1,36-45
0-200 DM,18,critical/other,radio/TV,1245,A61,1-4 years,4,A94,A101,2,A123,33,A143,A152,1,A173,1,A191,A201,0,26-35
<0 DM,18,no credits/all paid,furniture/equipment,3114,A61,<1 year,1,A92,A101,4,A122,26,A143,A151,1,A173,1,A191,A201,0,26-35
no account,39,existing paid,car (used),2569,A63,1-4 years,4,A93,A101,4,A123,24,A143,A152,1,A173,1,A191,A201,1,18-25
>=200 DM,24,existing paid,radio/TV,5152,A61,4-7 years,4,A93,A101,2,A123,25,A141,A152,1,A173,1,A191,A201,1,18-25
0-200 DM,12,existing paid,business,1037,A62,4-7 years,3,A93,A101,4,A121,39,A143,A152,1,A172,1,A191,A201,1,36-45
<0 DM,15,critical/other,furniture/equipment,1478,A61,>=7 years,4,A93,A101,4,A123,44,A143,A152,2,A173,2,A192,A201,1,36-45
0-200 DM,12,critical/other,radio/TV,3573,A61,1-4 years,1,A92,A101,1,A121,23,A143,A152,1,A172,1,A191,A201,1,18-25
0-200 DM,24,existing paid,car (new),1201,A61,<1 year,4,A93,A101,1,A122,26,A143,A152,1,A173,1,A191,A201,1,26-35
<0 DM,30,existing paid,furniture/equipment,3622,A64,>=7 years,4,A92,A101,4,A122,57,A143,A151,2,A173,1,A192,A201,1,56-65
no account,15,delay paid,furniture/equipment,960,A64,4-7 years,3,A92,A101,2,A122,30,A143,A152,2,A173,1,A191,A201,1,26-35
no account,12,critical/other,car (new),1163,A63,1-4 years,4,A93,A101,4,A121,44,A143,A152,1,A173,1,A192,A201,1,36-45
0-200 DM,6,delay paid,car (new),1209,A61,unemployed,4,A93,A101,4,A122,47,A143,A152,1,A174,1,A192,A201,0,46-55
no account,12,existing paid,radio/TV,3077,A61,1-4 years,2,A93,A101,4,A123,52,A143,A152,1,A173,1,A192,A201,1,46-55
no account,24,existing paid,car (new),3757,A61,>=7 years,4,A92,A102,4,A124,62,A143,A153,1,A173,1,A192,A201,1,56-65
no account,10,existing paid,car (new),1418,A62,1-4 years,3,A93,A101,2,A121,35,A143,A151,1,A172,1,A191,A202,1,26-35
no account,6,existing paid,car (new),3518,A61,1-4 years,2,A93,A103,3,A122,26,A143,A151,1,A173,1,A191,A201,1,26-35
no account,12,critical/other,radio/TV,1934,A61,>=7 years,2,A93,A101,2,A124,26,A143,A152,2,A173,1,A191,A201,1,26-35
0-200 DM,27,no credits/all paid,business,8318,A61,>=7 years,2,A92,A101,4,A124,42,A143,A153,2,A174,1,A192,A201,0,36-45
no account,6,critical/other,radio/TV,1237,A62,1-4 years,1,A92,A101,1,A122,27,A143,A152,2,A173,1,A191,A201,1,26-35
0-200 DM,6,existing paid,radio/TV,368,A65,>=7 years,4,A93,A101,4,A122,38,A143,A152,1,A173,1,A191,A201,1,36-45
<0 DM,12,critical/other,car (new),2122,A61,1-4 years,3,A93,A101,2,A121,39,A143,A151,2,A172,2,A191,A202,1,36-45
<0 DM,24,existing paid,furniture/equipment,2996,A65,1-4 years,2,A94,A101,4,A123,20,A143,A152,1,A173,1,A191,A201,0,18-25
0-200 DM,36,existing paid,furniture/equipment,9034,A62,<1 year,4,A93,A102,1,A124,29,A143,A151,1,A174,1,A192,A201,0,26-35
no account,24,critical/other,furniture/equipment,1585,A61,4-7 years,4,A93,A101,3,A122,40,A143,A152,2,A173,1,A191,A201,1,36-45
0-200 DM,18,existing paid,radio/TV,1301,A61,>=7 years,4,A94,A103,2,A121,32,A143,A152,1,A172,1,A191,A201,1,26-35
>=200 DM,6,critical/other,car (new),1323,A62,>=7 years,2,A91,A101,4,A123,28,A143,A152,2,A173,2,A192,A201,1,26-35
<0 DM,24,existing paid,car (new),3123,A61,<1 year,4,A92,A101,1,A122,27,A143,A152,1,A173,1,A191,A201,0,26-35
<0 DM,36,existing paid,car (used),5493,A61,>=7 years,2,A93,A101,4,A124,42,A143,A153,1,A173,2,A191,A201,1,36-45
>=200 DM,9,existing paid,radio/TV,1126,A62,>=7 years,2,A91,A101,4,A121,49,A143,A152,1,A173,1,A191,A201,1,46-55
0-200 DM,24,critical/other,radio/TV,1216,A62,<1 year,4,A93,A101,4,A124,38,A141,A152,2,A173,2,A191,A201,0,36-45
<0 DM,24,existing paid,car (new),1207,A61,<1 year,4,A92,A101,4,A122,24,A143,A151,1,A173,1,A191,A201,0,18-25
no account,10,existing paid,car (new),1309,A65,1-4 years,4,A93,A103,4,A122,27,A143,A152,1,A172,1,A191,A201,0,26-35
>=200 DM,15,critical/other,car (used),2360,A63,1-4 years,2,A93,A101,2,A123,36,A143,A152,1,A173,1,A192,A201,1,36-45
0-200 DM,15,all paid,car (new),6850,A62,unemployed,1,A93,A101,2,A122,34,A143,A152,1,A174,2,A192,A201,0,26-35
no account,24,existing paid,radio/TV,1413,A61,1-4 years,4,A94,A101,2,A122,28,A143,A152,1,A173,1,A191,A201,1,26-35
no account,39,existing paid,car (used),8588,A62,>=7 years,4,A93,A101,2,A123,45,A143,A152,1,A174,1,A192,A201,1,36-45
<0 DM,12,existing paid,car (new),759,A61,4-7 years,4,A93,A101,2,A121,26,A143,A152,1,A173,1,A191,A201,0,26-35
no account,36,existing paid,car (used),4686,A61,1-4 years,2,A93,A101,2,A124,32,A143,A153,1,A174,1,A192,A201,1,26-35
>=200 DM,15,existing paid,business,2687,A61,4-7 years,2,A93,A101,4,A122,26,A143,A151,1,A173,1,A192,A201,1,26-35
0-200 DM,12,delay paid,radio/TV,585,A61,1-4 years,4,A94,A102,4,A121,20,A143,A151,2,A173,1,A191,A201,1,18-25
no account,24,existing paid,car (new),2255,A65,<1 year,4,A93,A101,1,A122,54,A143,A152,1,A173,1,A191,A201,1,46-55
<0 DM,6,critical/other,car (new),609,A61,4-7 years,4,A92,A101,3,A122,37,A143,A152,2,A173,1,A191,A202,1,36-45
<0 DM,6,critical/other,car (new),1361,A61,<1 year,2,A93,A101,4,A121,40,A143,A152,1,A172,2,A191,A202,1,36-45
no account,36,critical/other,furniture/equipment,7127,A61,<1 year,2,A92,A101,4,A122,23,A143,A151,2,A173,1,A192,A201,0,18-25
<0 DM,6,existing paid,car (new),1203,A62,>=7 years,3,A93,A101,2,A122,43,A143,A152,1,A173,1,A192,A201,1,36-45
no account,6,critical/other,radio/TV,700,A65,>=7 years,4,A93,A101,4,A124,36,A143,A153,2,A173,1,A191,A201,1,36-45
no account,24,critical/other,repairs,5507,A61,>=7 years,3,A93,A101,4,A124,44,A143,A153,2,A173,1,A191,A201,1,36-45
<0 DM,18,existing paid,radio/TV,3190,A61,1-4 years,2,A92,A101,2,A121,24,A143,A152,1,A173,1,A191,A201,0,18-25
<0 DM,48,no credits/all paid,furniture/equipment,7119,A61,1-4 years,3,A93,A101,4,A124,53,A143,A153,2,A173,2,A191,A201,0,46-55
no account,24,existing paid,car (used),3488,A62,4-7 years,3,A92,A101,4,A123,23,A143,A152,1,A173,1,A191,A201,1,18-25
0-200 DM,18,existing paid,radio/TV,1113,A61,1-4 years,4,A92,A103,4,A121,26,A143,A152,1,A172,2,A191,A201,1,26-35
0-200 DM,26,existing paid,car (used),7966,A61,<1 year,2,A93,A101,3,A123,30,A143,A152,2,A173,1,A191,A201,1,26-35
no account,15,critical/other,education,1532,A62,1-4 years,4,A92,A101,3,A123,31,A143,A152,1,A173,1,A191,A201,1,26-35
no account,4,critical/other,radio/TV,1503,A61,4-7 years,2,A93,A101,1,A121,42,A143,A152,2,A172,2,A191,A201,1,36-45
<0 DM,36,existing paid,radio/TV,2302,A61,1-4 years,4,A91,A101,4,A123,31,A143,A151,1,A173,1,A191,A201,0,26-35
<0 DM,6,existing paid,car (new),662,A61,<1 year,3,A93,A101,4,A121,41,A143,A152,1,A172,2,A192,A201,1,36-45
0-200 DM,36,existing paid,education,2273,A61,4-7 years,3,A93,A101,1,A123,32,A143,A152,2,A173,2,A191,A201,1,26-35
0-200 DM,15,existing paid,car (new),2631,A62,1-4 years,2,A92,A101,4,A123,28,A143,A151,2,A173,1,A192,A201,0,26-35
no account,12,delay paid,car (used),1503,A61,1-4 years,4,A94,A101,4,A121,41,A143,A151,1,A173,1,A191,A201,1,36-45
no account,24,existing paid,radio/TV,1311,A62,4-7 years,4,A94,A101,3,A122,26,A143,A152,1,A173,1,A192,A201,1,26-35
no account,24,existing paid,radio/TV,3105,A65,<1 year,4,A93,A101,2,A123,25,A143,A152,2,A173,1,A191,A201,1,18-25
>=200 DM,21,critical/other,education,2319,A61,<1 year,2,A91,A101,1,A123,33,A143,A151,1,A173,1,A191,A201,0,26-35
<0 DM,6,existing paid,car (new),1374,A65,unemployed,4,A92,A101,3,A122,75,A143,A152,1,A174,1,A192,A201,1,66+
0-200 DM,18,critical/other,furniture/equipment,3612,A61,>=7 years,3,A92,A101,4,A122,37,A143,A152,1,A173,1,A192,A201,1,36-45
<0 DM,48,existing paid,car (new),7763,A61,>=7 years,4,A93,A101,4,A124,42,A141,A153,1,A174,1,A191,A201,0,36-45
>=200 DM,18,existing paid,furniture/equipment,3049,A61,<1 year,1,A92,A101,1,A122,45,A142,A152,1,A172,1,A191,A201,1,36-45
0-200 DM,12,existing paid,radio/TV,1534,A61,<1 year,1,A94,A101,1,A121,23,A143,A151,1,A173,1,A191,A201,0,18-25
no account,24,delay paid,car (new),2032,A61,>=7 years,4,A93,A101,4,A124,60,A143,A153,2,A173,1,A192,A201,1,56-65
<0 DM,30,existing paid,furniture/equipment,6350,A65,>=7 years,4,A93,A101,4,A122,31,A143,A152,1,A173,1,A191,A201,0,26-35
>=200 DM,18,existing paid,furniture/equipment,2864,A61,1-4 years,2,A93,A101,1,A121,34,A143,A152,1,A172,2,A191,A201,0,26-35
no account,12,critical/other,car (new),1255,A61,>=7 years,4,A93,A101,4,A121,61,A143,A152,2,A172,1,A191,A201,1,56-65
<0 DM,24,delay paid,car (new),1333,A61,unemployed,4,A93,A101,2,A121,43,A143,A153,2,A173,2,A191,A201,0,36-45
no account,24,critical/other,car (new),2022,A61,1-4 years,4,A92,A101,4,A123,37,A143,A152,1,A173,1,A192,A201,1,36-45
no account,24,existing paid,radio/TV,1552,A61,4-7 years,3,A93,A101,1,A123,32,A141,A152,1,A173,2,A191,A201,1,26-35
<0 DM,12,all paid,radio/TV,626,A61,1-4 years,4,A92,A101,4,A121,24,A141,A152,1,A172,1,A191,A201,0,18-25
no account,48,critical/other,car (used),8858,A65,4-7 years,2,A93,A101,1,A124,35,A143,A153,2,A173,1,A192,A201,1,26-35
no account,12,critical/other,repairs,996,A65,4-7 years,4,A92,A101,4,A121,23,A143,A152,2,A173,1,A191,A201,1,18-25
no account,6,all paid,radio/TV,1750,A63,>=7 years,2,A93,A101,4,A122,45,A141,A152,1,A172,2,A191,A201,1,36-45
<0 DM,48,existing paid,radio/TV,6999,A61,4-7 years,1,A94,A103,1,A121,34,A143,A152,2,A173,1,A192,A201,0,26-35
0-200 DM,12,critical/other,car (new),1995,A62,<1 year,4,A93,A101,1,A123,27,A143,A152,1,A173,1,A191,A201,1,26-35
0-200 DM,9,existing paid,education,1199,A61,4-7 years,4,A92,A101,4,A122,67,A143,A152,2,A174,1,A192,A201,1,66+
0-200 DM,12,existing paid,radio/TV,1331,A61,<1 year,2,A93,A101,1,A123,22,A142,A152,1,A173,1,A191,A201,0,18-25
0-200 DM,18,no credits/all paid,car (new),2278,A62,<1 year,3,A92,A101,3,A123,28,A143,A152,2,A173,1,A191,A201,0,26-35
no account,21,no credits/all paid,car (new),5003,A65,1-4 years,1,A92,A101,4,A122,29,A141,A152,2,A173,1,A192,A201,0,26-35
<0 DM,24,all paid,furniture/equipment,3552,A61,4-7 years,3,A93,A101,4,A123,27,A141,A152,1,A173,1,A191,A201,0,26-35
0-200 DM,18,critical/other,furniture/equipment,1928,A61,<1 year,2,A93,A101,2,A121,31,A143,A152,2,A172,1,A191,A201,0,26-35
<0 DM,24,existing paid,car (used),2964,A65,>=7 years,4,A93,A101,4,A124,49,A141,A153,1,A173,2,A192,A201,1,46-55
<0 DM,24,all paid,radio/TV,1546,A61,4-7 years,4,A93,A103,4,A123,24,A141,A151,1,A172,1,A191,A201,0,18-25
>=200 DM,6,delay paid,radio/TV,683,A61,<1 year,2,A92,A101,1,A122,29,A141,A152,1,A173,1,A191,A201,1,26-35
0-200 DM,36,existing paid,car (new),12389,A65,1-4 years,1,A93,A101,4,A124,37,A143,A153,1,A173,1,A192,A201,0,36-45
0-200 DM,24,delay paid,business,4712,A65,1-4 years,4,A93,A101,2,A122,37,A141,A152,2,A174,1,A192,A201,1,36-45
0-200 DM,24,delay paid,radio/TV,1553,A62,4-7 years,3,A92,A101,2,A122,23,A143,A151,2,A173,1,A192,A201,1,18-25
<0 DM,12,existing paid,car (new),1372,A61,4-7 years,2,A91,A101,3,A123,36,A143,A152,1,A173,1,A191,A201,0,36-45
no account,24,critical/other,radio/TV,2578,A64,>=7 years,2,A93,A101,2,A123,34,A143,A152,1,A173,1,A191,A201,1,26-35
0-200 DM,48,existing paid,radio/TV,3979,A65,4-7 years,4,A93,A101,1,A123,41,A143,A152,2,A173,2,A192,A201,1,36-45
<0 DM,48,existing paid,radio/TV,6758,A61,1-4 years,3,A92,A101,2,A123,31,A143,A152,1,A173,1,A192,A201,0,26-35
<0 DM,24,existing paid,furniture/equipment,3234,A61,<1 year,4,A92,A101,4,A121,23,A143,A151,1,A172,1,A192,A201,0,18-25
no account,30,critical/other,radio/TV,5954,A61,4-7 years,3,A93,A102,2,A123,38,A143,A152,1,A173,1,A191,A201,1,36-45
no account,24,existing paid,car (used),5433,A65,unemployed,2,A92,A101,4,A122,26,A143,A151,1,A174,1,A192,A201,1,26-35
<0 DM,15,existing paid,business,806,A61,1-4 years,4,A92,A101,4,A122,22,A143,A152,1,A172,1,A191,A201,1,18-25
0-200 DM,9,existing paid,radio/TV,1082,A61,>=7 years,4,A93,A101,4,A123,27,A143,A152,2,A172,1,A191,A201,1,26-35
no account,15,critical/other,furniture/equipment,2788,A61,4-7 years,2,A92,A102,3,A123,24,A141,A152,2,A173,1,A191,A201,1,18-25
0-200 DM,12,existing paid,radio/TV,2930,A61,4-7 years,2,A92,A101,1,A121,27,A143,A152,1,A173,1,A191,A201,1,26-35
no account,24,critical/other,education,1927,A65,1-4 years,3,A92,A101,2,A123,33,A143,A152,2,A173,1,A192,A201,1,26-35
0-200 DM,36,critical/other,car (new),2820,A61,<1 year,4,A91,A101,4,A123,27,A143,A152,2,A173,1,A191,A201,0,26-35
no account,24,existing paid,retraining,937,A61,<1 year,4,A94,A101,3,A123,27,A143,A152,2,A172,1,A191,A201,1,26-35
0-200 DM,18,critical/other,car (new),1056,A61,>=7 years,3,A93,A103,3,A121,30,A141,A152,2,A173,1,A191,A201,0,26-35
0-200 DM,12,critical/other,car (new),3124,A61,<1 year,1,A93,A101,3,A121,49,A141,A152,2,A172,2,A191,A201,1,46-55
no account,9,existing paid,furniture/equipment,1388,A61,1-4 years,4,A92,A101,2,A121,26,A143,A151,1,A173,1,A191,A201,1,26-35
0-200 DM,36,existing paid,repairs,2384,A61,<1 year,4,A93,A101,1,A124,33,A143,A151,1,A172,1,A191,A201,0,26-35
no account,12,existing paid,car (new),2133,A65,>=7 years,4,A92,A101,4,A124,52,A143,A153,1,A174,1,A192,A201,1,46-55
<0 DM,18,existing paid,furniture/equipment,2039,A61,1-4 years,1,A92,A101,4,A121,20,A141,A151,1,A173,1,A191,A201,0,18-25
<0 DM,9,critical/other,car (new),2799,A61,1-4 years,2,A93,A101,2,A121,36,A143,A151,2,A173,2,A191,A201,1,36-45
<0 DM,12,existing paid,furniture/equipment,1289,A61,1-4 years,4,A93,A103,1,A122,21,A143,A152,1,A172,1,A191,A201,1,18-25
<0 DM,18,existing paid,domestic appliances,1217,A61,1-4 years,4,A94,A101,3,A121,47,A143,A152,1,A172,1,A192,A201,0,46-55
<0 DM,12,critical/other,furniture/equipment,2246,A61,>=7 years,3,A93,A101,3,A122,60,A143,A152,2,A173,1,A191,A201,0,56-65
<0 DM,12,critical/other,radio/TV,385,A61,4-7 years,4,A92,A101,3,A121,58,A143,A152,4,A172,1,A192,A201,1,56-65
0-200 DM,24,delay paid,car (new),1965,A65,1-4 years,4,A92,A101,4,A123,42,A143,A151,2,A173,1,A192,A201,1,36-45
no account,21,existing paid,business,1572,A64,>=7 years,4,A92,A101,4,A121,36,A141,A152,1,A172,1,A191,A201,1,36-45
0-200 DM,24,existing paid,car (new),2718,A61,1-4 years,3,A92,A101,4,A122,20,A143,A151,1,A172,1,A192,A201,0,18-25
<0 DM,24,all paid,others,1358,A65,>=7 years,4,A93,A101,3,A123,40,A142,A152,1,A174,1,A192,A201,0,36-45
0-200 DM,6,all paid,car (new),931,A62,<1 year,1,A92,A101,1,A122,32,A142,A152,1,A172,1,A191,A201,0,26-35
<0 DM,24,existing paid,car (new),1442,A61,4-7 years,4,A92,A101,4,A123,23,A143,A151,2,A173,1,A191,A201,0,18-25
0-200 DM,24,no credits/all paid,business,4241,A61,1-4 years,1,A93,A101,4,A121,36,A143,A152,3,A172,1,A192,A201,0,36-45
no account,18,critical/other,car (new),2775,A61,4-7 years,2,A93,A101,2,A122,31,A141,A152,2,A173,1,A191,A201,0,26-35
no account,24,delay paid,business,3863,A61,1-4 years,1,A93,A101,2,A124,32,A143,A153,1,A173,1,A191,A201,1,26-35
0-200 DM,7,existing paid,radio/TV,2329,A61,<1 year,1,A92,A103,1,A121,45,A143,A152,1,A173,1,A191,A201,1,36-45
0-200 DM,9,existing paid,furniture/equipment,918,A61,1-4 years,4,A92,A101,1,A122,30,A143,A152,1,A173,1,A191,A201,0,26-35
